,name,line
0,Narrator,(Breeze) (Meow)
1,Akira,"It's so windy tonight.... Maybe that's why all the cats won't stop meowing. I managed to buy some canned cat food for cheap, so I should drop by the old cat lady's house on the way back. Kuro and Hanako get tuna; Tama gets some chicken, and Tora gets salmon. And senior food for Grandpa Tails. The old cat lady lets me take care of them every now and then because we live close by. Each cat is so cute and unique. Oh, that's right. The old cat lady mentioned something like this.... Mysterious things happen on nights when the wind is strong, the cats are on edge, and the full moon shines bright in the sky."
2,Narrator,(Footsteps)
3,Akira,"Woah.... What a huge full moon.... It looks even brighter than usual. It's so big and bright, I can probably get a nice picture just with my phone camera. Focus and.... Got it."
4,Narrator,(Snap)
5,Narrator,"Once I get a picture of the moon, I head to my apartment's elevator while gazing at my phone. I press the elevator button, wait for it to arrive, and step through the open doors."
6,Narrator,(Elevator doors closing)
7,Akira,Oh. I got a really clear picture of the moon. I'll show it to the old cat lady when I drop by with the canned cat food. ....Huh? Something seems off.
8,Narrator,"I look up from my smartphone, and my eyes widen in surprise. This doesn't look like the elevator in my apartment complex."
9,Narrator,(Elevator sounds)
10,Narrator,"Thump, clatter. The echoing sounds are also unfamiliar."
11,Akira,What's going on...? Was the building undergoing renovations....?
12,???,Hello.
13,Akira,....!?
14,Narrator,I can't believe my eyes. A hat floats in mid-air - and it's speaking to me.
15,???,"Welcome, Sir Sage. Let me escort you to this elevator's destination. I am Murr, a Western wizard. Our destination is a world splintered by the < Great Catastrophe >."
16,Murr,"It's an honor to meet you, my beloved Sir Sage."
17,Akira,Woah....!?
18,Narrator,"A gracious gentleman appears underneath the hat. He pays no attention to my exclamation of surprise, and continues speaking."
19,Murr,"I may soon drag you into a rather cumbersome situation, Sir Sage. Now, there are many cumbersome things in this world. Take, for example, love affairs, prestige, war, family, friends, revenge, repayment.... But this time, the most cumbersome problem of all awaits us! Saving the world - we would like to ask you for your assistance in this matter."
20,Akira,.....Wh.... What's going on.... Am I dreaming.....?
21,Narrator,The young man named Murr smiles in response to my bewilderment.
22,Murr,"We'll be arriving soon. Both the world and I have been torn apart quite terribly, and... You will probably be sorely disappointed in me. But if we could become friends nonetheless - I would be very happy. Oh, brilliant Sage. I have yearned to meet you for so, so long. Truth be told, I don't care about the world at all. Acts of charity are a pain, after all. But..... I want you to discover the truth about this world."
23,Akira,Ah......
24,Narrator,"When Murr disappears, the elevator stops."
25,Narrator,(Ding)
26,Narrator,"Slowly, the doors open....."
27,Man with a fancy beard,Sir Sage....!
28,Akira,Huh.....
29,Man with a fancy beard,The Sage has arrived! The wizards' summoning ritual was a success!
30,Soldier,Cheers for the Sage!
31,Soldier,Cheers!
32,Akira,Huh!? What's going on!?
33,Man with a fancy beard,"Now, now, this way, Sir Sage. Thank you for coming to us. My name is Drummond. I am Central Country's Minister of Magical Affairs."
34,Meek-looking man,"Erm, I'm Cock Robin, the secretary of Central Country."
35,Drummond,"This way, Sir Sage! Let me escort you to the Central castle before those pesky wizards arrive!"
36,Akira,"Huh!? Um, please wait a second. What are you all doing? Is this a prank? Or some new kind of VR experience?"
37,Drummond,"We were waiting for you, Sir Sage! You are going to battle the < Great Catastrophe > and save the world."
38,Akira,"Battle what and save the world!? Is my apartment complex doing some kind of game collaboration? Maybe there's a camera hiding somewhere..... I really can't have this, you know......"
39,Drummond,Do not fear! There's nothing dangerous about this. The pesky wizards are the ones who will be fighting!
40,Akira,Wizards?
41,Drummond,"Yes. But they're a rowdy bunch who never listen to our commands - much like cats. For some reason, they historically only listen to the sage who arrives from another world."
42,Narrator,(Footsteps)
43,Soldier,Sir Drummond! We have news....
44,Drummond,"What!? The wizards!? This is bad. We need to coax the Sage away before they arri..... Ahem! We really need to get close to Sir Sage! Sir Sage, let us hurry to the Central castle!"
45,Akira,Please wait! I don't understand anything at all!
46,Narrator,Surrounded by soldiers - feeling threatened - I shake my head furiously.
47,Akira,"I really don't play RPGs, so I don't know how you want me to react! Please take someone else....."
48,Drummond,You'll come with us even if we have to make you. Soldiers!
49,Akira,........!
50,Narrator,"The moment I try to flee, the soldiers all draw their swords."
51,Cock Robin,"Sir Drummond, this is excessive......"
52,Drummond,Silence! The damn wizards are the ones at fault here!
53,Narrator,"The silver swords approach me with a terrifying glare. The blades shine as if they're real, and I turn pale."
54,Akira,(Oh god! There's something wrong with these people!)
55,Narrator,"In that moment, I spot a shadow approaching us from the sky beyond the window. Two young men, flying through the sky on their broomsticks."
56,Akira,(They're flying through the sky....!?) (Wh.... What in the world? Is the outside scenery part of this VR too....?)
57,Narrator,"I strain my eyes, trying to unveil the trick behind this bizarre sight, when..... They pass through the window and land right in front of my eyes. Whisking up a real breeze."
58,Akira,(Huh....?)
59,Narrator,"They make their brooms vanish in an instant like magic, and stand on either side of me."
60,???,"Your prediction was spot-on, Heath. I didn't think the guys from the Ministry of Magical Affairs would actually come to kidnap the Sage."
61,???,I told you. ....Humans just don't trust us.
62,Narrator,"Surprised, I look at them, one at a time. The tall, fearless young man turns around to look at me. His eyes are of different colors."
63,???,Are you the new Sage?
64,Akira,Huh.....?
65,???,"I'm Cain, a Central wizard. I'm also the knight who will protect you. What's your name?"
66,Akira,Ah.... I'm Akira......
67,Narrator,"When I answer, the young man named Cain turns the corners of his lips upward into a smile."
68,Cain,"Sir Akira. Nice to meet you. Before we do anything else, let's deal with these guys."
69,Narrator,"He laughs boldly and draws his sword. It looks far more splendid than the swords of the other soldiers surrounding us, with fine decorations and a sharpened blade."
70,Akira,(I... Is this sword real....?)
71,Narrator,"As a chill of nervousness runs through my body, the soldiers look just as nervous."
72,Soldier,G-General Cain.....
73,Soldier,It's General Cain....!
